Date,Team 1,Team 2,Team 1 1st Half,Team 2 1st Half,Team 1 2nd Half,Team 2 2nd Half,Team 1 Final,Team 2 Final,Team 1 Winner,Team 2 Winner
11/13/15,Temple,North Carolina,36,47,31,44,67,91,0,1
11/13/15,Albany,Kentucky,27,38,38,40,65,78,0,1
11/13/15,Mt. St. Mary's,Maryland,32,43,24,37,56,80,0,1
11/13/15,Northern Colo.,Kansas,31,53,41,56,72,109,0,1
11/13/15,Siena,Duke,27,44,47,48,74,92,0,1
11/13/15,Morgan State,Virginia,23,40,25,46,48,86,0,1
11/13/15,Colorado,Iowa State,25,30,37,38,62,68,0,1
11/13/15,Charleston So.,Wichita State,30,42,33,46,63,88,0,1
11/13/15,Fairleigh D'son,Villanova,22,50,32,41,54,91,0,1
11/13/15,Pacific,Arizona,24,41,37,38,61,79,0,1
11/13/15,Florida Atlantic,Michigan State,21,43,34,39,55,82,0,1
11/13/15,Rice,California,31,47,34,50,65,97,0,1
11/13/15,Eastern Illinois,Indiana,17,49,32,39,49,88,0,1
11/13/15,Southern Utah,Utah,36,38,35,44,71,82,0,1
11/13/15,Western Illinois,Wisconsin,37,44,32,23,69,67,1,0
11/13/15,Austin Peay,Vanderbilt,15,47,26,33,41,80,0,1
11/13/15,St. Francis (Pa.),Notre Dame,25,38,31,49,56,87,0,1
11/13/15,Maine,Connecticut,30,42,26,58,56,100,0,1
11/13/15,McNeese State,LSU,27,41,43,40,70,81,0,1
11/13/15,Steph. F. Austin,Baylor,23,42,32,55,55,97,0,1
11/13/15,N.C. A&T;,Purdue,16,44,24,37,40,81,0,1
11/13/15,Northern Mich.,Michigan,26,36,18,34,44,70,0,1
11/13/15,McMurry,La.-Monroe,12,43,31,45,43,88,0,1
11/13/15,Fairfield,Yale,26,35,31,35,57,70,0,1
11/13/15,Minnesota-Morris,North Dakota,24,45,45,54,69,99,0,1
11/13/15,Jacksonville St.,Cent. Michigan,32,43,51,46,83,89,0,1
11/13/15,N'western St.,Mississippi,32,38,44,52,76,90,0,1
11/13/15,Ferrum,Army West Point,29,48,25,45,54,93,0,1
11/13/15,Quinnipiac,Sacred Heart,25,30,39,46,64,76,0,1
11/13/15,South Dakota,Wright State,32,30,37,47,69,77,0,1
11/13/15,Robert Morris,Penn,28,44,47,32,75,76,0,1
11/13/15,Wagner,St. John's ,31,32,26,34,57,66,0,1
11/13/15,Colgate,George Mason,20,22,46,31,66,53,1,0
