Stony Brook,0.806
Albany,0.75
Vermont,0.636
New Hampshire,0.613
Massachusetts Lowell,0.379
Binghamton,0.267
Hartford,0.303
Maine,0.267
UMBC,0.219
Temple,0.677
SMU,0.833
Houston,0.733
Cincinnati,0.688
Tulsa,0.667
Connecticut,0.688
Memphis,0.548
UCF,0.4
East Carolina,0.375
South Florida,0.242
Tulane,0.344
Dayton,0.806
St. Bonaventure,0.759
Virginia Commonwealth,0.719
Saint Joseph's (PA),0.781
George Washington,0.697
Davidson,0.633
Rhode Island,0.531
Fordham,0.567
Richmond,0.5
Duquesne,0.5
Massachusetts,0.438
George Mason,0.344
Saint Louis,0.344
La Salle,0.29
North Carolina,0.813
Miami (FL),0.806
Virginia,0.806
Louisville,0.742
Duke,0.697
Notre Dame,0.677
Virginia Tech,0.576
Clemson,0.548
Pittsburgh,0.656
Syracuse,0.594
Florida State,0.594
Georgia Tech,0.576
North Carolina State,0.485
Wake Forest,0.355
Boston College,0.219
North Florida,0.667
Florida Gulf Coast,0.606
N.J.I.T.,0.548
Jacksonville,0.5
Lipscomb,0.364
Kennesaw State,0.355
Stetson,0.353
USC Upstate,0.313
Kansas,0.879
West Virginia,0.781
Oklahoma,0.806
Texas,0.625
Baylor,0.667
Iowa State,0.656
Texas Tech,0.613
Kansas State,0.515
Oklahoma State,0.375
TCU,0.364
Villanova,0.879
Xavier,0.871
Seton Hall,0.742
Providence,0.697
Butler,0.677
Creighton,0.563
Marquette,0.606
Georgetown,0.455
DePaul,0.29
St. John's,0.25
Weber State,0.75
Montana,0.667
Idaho,0.656
Idaho State,0.516
North Dakota,0.548
Eastern Washington,0.531
Montana State,0.452
Portland State,0.419
Northern Colorado,0.323
Sacramento State,0.452
Southern Utah,0.172
Northern Arizona,0.167
Winthrop,0.719
High Point,0.677
UNC Asheville,0.667
Coastal Carolina,0.621
Gardner-Webb,0.515
Liberty,0.406
Radford,0.516
Campbell,0.4
Presbyterian,0.355
Longwood,0.303
Charleston Southern,0.3
Indiana,0.781
Michigan State,0.844
Purdue,0.781
Maryland,0.774
Iowa,0.677
Wisconsin,0.625
Ohio State,0.606
Michigan,0.667
Northwestern,0.625
Penn State,0.5
Nebraska,0.485
Illinois,0.441
Minnesota,0.258
Rutgers,0.219
Hawaii,0.833
UC Irvine,0.758
Long Beach State,0.594
UC Santa Barbara,0.6
UC Davis,0.367
UC Riverside,0.424
Cal State Northridge,0.333
Cal Poly,0.333
Cal State Fullerton,0.333
North Carolina-Wilmington,0.781
Hofstra,0.727
James Madison,0.656
William & Mary,0.645
Towson,0.625
Northeastern,0.545
Charleston,0.548
Elon,0.5
Drexel,0.194
Delaware,0.233
UAB,0.813
Middle Tennessee,0.719
Louisiana Tech,0.719
Old Dominion,0.647
Marshall,0.515
UTEP,0.576
Charlotte,0.424
Western Kentucky,0.529
Florida International,0.406
North Texas,0.375
Rice,0.375
Southern Miss,0.276
Florida Atlantic,0.242
UTSA,0.156
Valparaiso,0.813
Oakland,0.656
Wright State,0.629
Green Bay,0.657
Milwaukee,0.606
Detroit,0.516
Youngstown State,0.344
Northern Kentucky,0.3
Cleveland State,0.281
Illinois-Chicago,0.167
Yale,0.786
Princeton,0.786
Columbia,0.677
Harvard,0.467
Pennsylvania,0.393
Dartmouth,0.357
Cornell,0.357
Brown,0.286
Monmouth,0.794
Iona,0.688
Siena,0.636
Fairfield,0.594
St. Peter's,0.467
Manhattan,0.419
Canisius,0.424
Rider,0.394
Quinnipiac,0.3
Niagara,0.219
Marist,0.233
Akron,0.788
Ohio,0.677
Kent State,0.594
Buffalo,0.563
Miami (OH),0.394
Bowling Green,0.471
Ball State,0.594
Central Michigan,0.531
Northern Illinois,0.636
Eastern Michigan,0.545
Toledo,0.531
Western Michigan,0.406
Hampton,0.667
South Carolina State,0.581
Norfolk State,0.531
Bethune-Cookman,0.438
Savannah State,0.516
North Carolina Central,0.406
Maryland-Eastern Shore,0.313
North Carolina A&T,0.313
Howard,0.375
Coppin State,0.29
Morgan State,0.29
Delaware State,0.219
Florida A&M,0.276
Wichita State,0.75
Evansville,0.735
Illinois State,0.563
Southern Illinois,0.688
Northern Iowa,0.647
Indiana State,0.469
Missouri State,0.406
Loyola (IL),0.469
Bradley,0.156
Drake,0.226
San Diego State,0.75
Fresno State,0.719
Boise State,0.625
Nevada,0.613
New Mexico,0.531
Colorado State,0.545
UNLV,0.545
Utah State,0.516
Wyoming,0.438
Air Force,0.438
San Jose State,0.29
Wagner,0.688
Fairleigh Dickinson,0.563
St. Francis (BKN),0.469
Sacred Heart,0.4
Mount St. Mary's,0.424
LIU Brooklyn,0.516
St. Francis (PA),0.433
Robert Morris,0.313
Bryant University,0.258
Central Connecticut State,0.138
Belmont,0.645
Tennessee State,0.667
Tennessee Tech,0.633
Morehead State,0.613
Eastern Kentucky,0.484
Jacksonville State,0.258
Tennessee-Martin,0.576
Murray State,0.548
Eastern Illinois,0.433
Austin Peay,0.514
SIU-Edwardsville,0.214
Southeast Missouri State,0.172
Oregon,0.813
Utah,0.781
Arizona,0.781
California,0.719
Colorado,0.667
USC,0.636
Oregon State,0.613
Washington,0.563
Stanford,0.5
UCLA,0.469
Arizona State,0.469
Washington State,0.29
Bucknell,0.567
Lehigh,0.531
Boston University,0.563
Army,0.594
Navy,0.576
Colgate,0.433
American University,0.387
Loyola (MD),0.3
Holy Cross,0.424
Lafayette,0.2
Texas A&M,0.781
Kentucky,0.75
South Carolina,0.774
LSU,0.594
Vanderbilt,0.594
Ole Miss,0.625
Georgia,0.6
Florida,0.576
Arkansas,0.5
Alabama,0.563
Mississippi State,0.452
Tennessee,0.441
